肖申克的救赎,导演:弗兰克·德拉邦特FrankDarabont   主演:蒂姆·罗宾斯TimRobbins/...,1994 / 美国 / 犯罪剧情,9.7,希望让人自由。
霸王别姬,导演:陈凯歌KaigeChen   主演:张国荣LeslieCheung/张丰毅FengyiZha...,1993 / 中国大陆中国香港 / 剧情爱情同性,9.6,风华绝代。
阿甘正传,导演:罗伯特·泽米吉斯RobertZemeckis   主演:汤姆·汉克斯TomHanks/...,1994 / 美国 / 剧情爱情,9.5,一部美国近现代史。
这个杀手不太冷,导演:吕克·贝松LucBesson   主演:让·雷诺JeanReno/娜塔莉·波特曼...,1994 / 法国美国 / 剧情动作犯罪,9.4,怪蜀黍和小萝莉不得不说的故事。
泰坦尼克号,导演:詹姆斯·卡梅隆JamesCameron   主演:莱昂纳多·迪卡普里奥Leonardo...,1997 / 美国 / 剧情爱情灾难,9.4,失去的才是永恒的。 
美丽人生,导演:罗伯托·贝尼尼RobertoBenigni   主演:罗伯托·贝尼尼RobertoBeni...,1997 / 意大利 / 剧情喜剧爱情战争,9.5,最美的谎言。
千与千寻,导演:宫崎骏HayaoMiyazaki   主演:柊瑠美RumiHîragi/入野自由Miy...,2001 / 日本 / 剧情动画奇幻,9.4,最好的宫崎骏，最好的久石让。 
辛德勒的名单,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:连姆·尼森LiamNeeson...,1993 / 美国 / 剧情历史战争,9.5,拯救一个人，就是拯救整个世界。
盗梦空间,导演:克里斯托弗·诺兰ChristopherNolan   主演:莱昂纳多·迪卡普里奥Le...,2010 / 美国英国 / 剧情科幻悬疑冒险,9.3,诺兰给了我们一场无法盗取的梦。
忠犬八公的故事,导演:莱塞·霍尔斯道姆LasseHallström   主演:理查·基尔RichardGer...,2009 / 美国英国 / 剧情,9.4,永远都不能忘记你所爱的人。
海上钢琴师,导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:蒂姆·罗斯TimRoth/...,1998 / 意大利 / 剧情音乐,9.3,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
星际穿越,导演:克里斯托弗·诺兰ChristopherNolan   主演:马修·麦康纳MatthewMc...,2014 / 美国英国加拿大冰岛 / 剧情科幻冒险,9.3,爱是一种力量，让我们超越时空感知它的存在。
楚门的世界,导演:彼得·威尔PeterWeir   主演:金·凯瑞JimCarrey/劳拉·琳妮Lau...,1998 / 美国 / 剧情科幻,9.3,如果再也不能见到你，祝你早安，午安，晚安。
三傻大闹宝莱坞,导演:拉库马·希拉尼RajkumarHirani   主演:阿米尔·汗AamirKhan/卡...,2009 / 印度 / 剧情喜剧爱情歌舞,9.2,英俊版憨豆，高情商版谢耳朵。
机器人总动员,导演:安德鲁·斯坦顿AndrewStanton   主演:本·贝尔特BenBurtt/艾丽...,2008 / 美国 / 科幻动画冒险,9.3,小瓦力，大人生。
放牛班的春天,导演:克里斯托夫·巴拉蒂ChristopheBarratier   主演:热拉尔·朱尼奥Gé...,2004 / 法国瑞士德国 / 剧情音乐,9.3,天籁一般的童声，是最接近上帝的存在。 
大话西游之大圣娶亲,导演:刘镇伟JeffreyLau   主演:周星驰StephenChow/吴孟达ManTatNg...,1995 / 中国香港中国大陆 / 喜剧爱情奇幻古装,9.2,一生所爱。
熔炉,导演:黄东赫Dong-hyukHwang   主演:孔侑YooGong/郑有美Yu-miJung/...,2011 / 韩国 / 剧情,9.3,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
疯狂动物城,导演:拜伦·霍华德ByronHoward/瑞奇·摩尔RichMoore   主演:金妮弗·...,2016 / 美国 / 喜剧动画冒险,9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
无间道,导演:刘伟强/麦兆辉   主演:刘德华/梁朝伟/黄秋生,2002 / 中国香港 / 剧情犯罪悬疑,9.2,香港电影史上永不过时的杰作。
教父,导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:马龙·白兰度M...,1972 / 美国 / 剧情犯罪,9.3,千万不要记恨你的对手，这样会让你失去理智。
龙猫,导演:宫崎骏HayaoMiyazaki   主演:日高法子NorikoHidaka/坂本千夏Ch...,1988 / 日本 / 动画奇幻冒险,9.2,人人心中都有个龙猫，童年就永远不会消失。
当幸福来敲门,导演:加布里尔·穆奇诺GabrieleMuccino   主演:威尔·史密斯WillSmith...,2006 / 美国 / 剧情传记家庭,9.1,平民励志片。 
怦然心动,导演:罗伯·莱纳RobReiner   主演:玛德琳·卡罗尔MadelineCarroll/卡...,2010 / 美国 / 剧情喜剧爱情,9.1,真正的幸福是来自内心深处。
触不可及,导演:奥利维·那卡什OlivierNakache/艾力克·托兰达EricToledano   主...,2011 / 法国 / 剧情喜剧,9.2,满满温情的高雅喜剧。
控方证人,导演:比利·怀尔德BillyWilder   主演:泰隆·鲍华TyronePower/玛琳·...,1957 / 美国 / 剧情犯罪悬疑,9.6,比利·怀德满分作品。
蝙蝠侠：黑暗骑士,导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ...,2008 / 美国英国 / 剧情动作科幻犯罪惊悚,9.2,无尽的黑暗。
活着,导演:张艺谋YimouZhang   主演:葛优YouGe/巩俐LiGong/姜武WuJiang,1994 / 中国大陆中国香港 / 剧情历史家庭,9.3,张艺谋最好的电影。
末代皇帝,导演:贝纳尔多·贝托鲁奇BernardoBertolucci   主演:尊龙JohnLone/陈...,1987 / 英国意大利中国大陆法国 / 剧情传记历史,9.3,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
寻梦环游记,导演:李·昂克里奇LeeUnkrich/阿德里安·莫利纳AdrianMolina   主演:...,2017 / 美国 / 喜剧动画奇幻音乐,9.1,死亡不是真的逝去，遗忘才是永恒的消亡。
乱世佳人,导演:维克多·弗莱明VictorFleming/乔治·库克GeorgeCukor   主演:费...,1939 / 美国 / 剧情历史爱情战争,9.3,Tomorrow is another day.
何以为家,导演:娜丁·拉巴基NadineLabaki   主演:扎因·拉费阿Zainal-Rafeea/...,2018 / 黎巴嫩法国美国 / 剧情,9.1,凝视卑弱生命，用电影改变命运。
指环王3：王者无敌,导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...,2003 / 美国新西兰 / 剧情动作奇幻冒险,9.2,史诗的终章。
摔跤吧！爸爸,导演:涅提·蒂瓦里NiteshTiwari   主演:阿米尔·汗AamirKhan/法缇玛...,2016 / 印度 / 剧情传记运动家庭,9.0,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
飞屋环游记,导演:彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson   主演:爱德...,2009 / 美国 / 剧情喜剧动画冒险,9.0,最后那些最无聊的事情，才是最值得怀念的。 
少年派的奇幻漂流,导演:李安AngLee   主演:苏拉·沙玛SurajSharma/伊尔凡·可汗Irrfan...,2012 / 美国中国台湾英国加拿大 / 剧情奇幻冒险,9.1,瑰丽壮观、无人能及的冒险之旅。
哈利·波特与魔法石,导演:ChrisColumbus   主演:DanielRadcliffe/EmmaWatson/RupertGrint,2001 / 美国英国 / 奇幻冒险,9.1,童话世界的开端。
十二怒汉,导演:SidneyLumet   主演:亨利·方达HenryFonda/马丁·鲍尔萨姆Marti...,1957 / 美国 / 剧情,9.4,1957年的理想主义。 
素媛,导演:李濬益Jun-ikLee   主演:薛景求Kyung-guSol/严志媛Ji-wonUhm...,2013 / 韩国 / 剧情,9.3,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
鬼子来了,导演:姜文WenJiang   主演:姜文WenJiang/香川照之TeruyukiKagawa/...,2000 / 中国大陆 / 剧情喜剧,9.3,对敌人的仁慈，就是对自己残忍。
